x,y,z
0.0,0.0,0.0
19.6,15.2,8.268
39.2,30.4,7.391
19.6,15.8,8.382
0.0,0.8,0.0
39.2,31.0,6.947
58.8,46.2,0.0
0.0,1.4,0.0
19.6,16.6,8.478
39.2,31.8,6.505
39.2,32.4,5.814
0.0,2.2,0.0
19.6,17.400000000000002,8.311
58.8,47.0,0.0
0.0,2.8000000000000003,0.0
19.6,18.0,8.259
39.2,33.2,4.971
58.8,47.6,0.0
0.0,3.6,0.0
19.6,18.8,8.517
39.2,34.0,4.347
19.6,19.4,8.698
0.0,4.4,0.0
39.2,34.6,3.762
58.8,49.0,0.0
0.0,5.0,0.0
19.6,20.200000000000003,8.763
39.2,35.4,3.268
39.2,36.0,2.702
0.0,5.800000000000001,0.0
19.6,21.0,8.739
0.0,6.4,0.0
19.6,21.6,8.674
39.2,36.8,2.074
0.0,7.2,0.0
19.6,22.4,8.605
39.2,37.6,1.757
19.6,23.0,8.404
0.0,8.0,0.0
39.2,38.2,1.404
0.0,8.6,0.0
19.6,23.8,8.382
39.2,39.0,0.55
39.2,39.6,0.168
0.0,9.4,0.0
19.6,24.6,8.467
19.6,25.200000000000003,8.46
0.0,10.2,0.0
39.2,40.400000000000006,0.078
0.0,10.8,0.0
19.6,26.0,8.362
39.2,41.2,0.0
39.2,41.8,0.0
0.0,11.6,0.0
19.6,26.8,8.298
0.0,12.2,0.0
19.6,27.4,8.179
39.2,42.6,0.0
0.0,13.0,0.0
19.6,28.200000000000003,7.808
39.2,43.400000000000006,0.0
19.6,28.8,7.724
0.0,13.8,0.0
39.2,44.0,0.0
0.0,14.4,0.0
19.6,29.6,7.605
39.2,44.8,0.0
39.2,45.400000000000006,0.0
0.0,15.2,0.0
19.6,30.4,7.411
0.0,15.8,0.0
19.6,31.0,7.26
39.2,46.2,0.068
0.0,16.6,0.0
19.6,31.8,6.707
39.2,47.0,0.0
19.6,32.4,6.348
0.0,17.400000000000002,0.0
39.2,47.6,0.0
0.0,18.0,0.0
19.6,33.2,5.818
39.2,48.400000000000006,0.0
39.2,49.0,0.0
0.0,18.8,0.0
19.6,34.0,5.25
0.0,19.4,0.0
19.6,34.6,4.736
39.2,49.8,0.0
0.0,20.200000000000003,0.0
19.6,35.4,3.991
19.6,36.0,3.54
0.0,21.0,0.0
0.0,21.6,0.0
19.6,36.8,2.656
0.0,22.4,0.0
19.6,37.6,2.291
0.0,23.0,0.0
19.6,38.2,1.876
0.0,23.8,0.0
19.6,39.0,1.421
19.6,39.6,0.942
0.0,24.6,0.0
0.0,25.200000000000003,0.0
19.6,40.400000000000006,0.21
0.0,26.0,0.0
19.6,41.2,0.131
19.6,41.8,0.0
0.0,26.8,0.0
0.0,27.4,0.0
19.6,42.6,0.077
0.0,28.200000000000003,0.0
19.6,43.400000000000006,0.127
0.0,28.8,0.0
19.6,44.0,0.0
0.0,29.6,0.0
19.6,44.8,0.123
19.6,45.400000000000006,0.108
0.0,30.4,0.0
0.0,31.0,0.0
19.6,46.2,0.079
0.0,31.8,0.0
19.6,47.0,0.0
0.0,32.4,0.0
19.6,47.6,0.0
0.0,33.2,0.0
19.6,48.400000000000006,0.0
19.6,49.0,0.073
0.0,34.0,0.0
0.0,34.6,0.0
19.6,49.8,0.0
0.0,35.4,0.0
0.0,36.0,0.0
0.0,36.8,0.0
0.0,37.6,0.0
0.0,38.2,0.0
0.0,39.0,0.0
0.0,39.6,0.0
0.0,40.400000000000006,0.0
0.0,41.2,0.0
0.0,41.8,0.0
0.0,42.6,0.0
0.0,43.400000000000006,0.0
0.0,44.0,0.0
0.0,44.8,0.0
0.0,45.400000000000006,0.0
0.0,46.2,0.0
0.0,47.0,0.0
0.0,47.6,0.0
0.0,48.400000000000006,0.0
0.0,49.0,0.0
0.0,49.8,0.0
65.8,0.0,0.0
65.8,0.8,0.323
65.8,1.4,0.762
65.8,2.2,1.181
65.8,2.8000000000000003,1.528
65.8,3.6,1.981
65.8,4.4,2.456
65.8,5.0,2.921
65.8,5.800000000000001,3.394
65.8,6.4,3.685
65.8,7.2,4.224
65.8,8.0,4.631
65.8,8.6,5.093
65.8,9.4,5.464
65.8,10.2,6.017
65.8,10.8,6.37
65.8,11.6,6.78
65.8,12.2,7.162
65.8,13.0,7.662
65.8,13.8,7.782
65.8,14.4,7.792
46.2,0.0,0.0
65.8,15.2,7.583
65.8,15.8,7.46
46.2,0.8,0.307
46.2,1.4,0.572
65.8,16.6,7.371
46.2,2.2,1.001
65.8,17.400000000000002,7.282
46.2,2.8000000000000003,1.334
65.8,18.0,7.292
46.2,3.6,1.771
65.8,18.8,7.287
65.8,19.4,7.041
46.2,4.4,2.148
46.2,5.0,2.401
65.8,20.200000000000003,7.318
46.2,5.800000000000001,2.863
65.8,21.0,7.182
46.2,6.4,3.209
65.8,21.6,7.259
46.2,7.2,3.563
65.8,22.4,6.913
65.8,23.0,6.937
46.2,8.0,3.921
46.2,8.6,4.304
65.8,23.8,7.185
46.2,9.4,4.705
65.8,24.6,7.084
65.8,25.200000000000003,6.823
46.2,10.2,5.085
46.2,10.8,5.432
65.8,26.0,6.796
46.2,11.6,5.727
65.8,26.8,6.764
46.2,12.2,6.092
65.8,27.4,6.608
46.2,13.0,6.51
65.8,28.200000000000003,6.625
65.8,28.8,6.621
46.2,13.8,6.921
46.2,14.4,7.219
65.8,29.6,6.569
26.6,0.0,0.0
46.2,15.2,7.616
65.8,30.4,6.503
46.2,15.8,7.975
26.6,0.8,0.298
65.8,31.0,6.238
26.6,1.4,0.709
46.2,16.6,8.306
65.8,31.8,5.884
65.8,32.4,5.559
26.6,2.2,1.207
46.2,17.400000000000002,8.726
26.6,2.8000000000000003,1.568
46.2,18.0,9.104
65.8,33.2,5.053
26.6,3.6,1.988
46.2,18.8,9.067
65.8,34.0,4.504
46.2,19.4,9.133
26.6,4.4,2.482
65.8,34.6,3.982
26.6,5.0,2.788
46.2,20.200000000000003,9.105
65.8,35.4,3.538
65.8,36.0,3.161
26.6,5.800000000000001,3.23
46.2,21.0,8.77
26.6,6.4,3.61
46.2,21.6,8.59
65.8,36.8,2.42
26.6,7.2,3.99
46.2,22.4,8.687
65.8,37.6,1.775
46.2,23.0,8.813
26.6,8.0,4.466
65.8,38.2,1.057
26.6,8.6,4.898
46.2,23.8,8.553
65.8,39.0,0.806
65.8,39.6,0.321
26.6,9.4,5.353
46.2,24.6,8.43
46.2,25.200000000000003,8.268
26.6,10.2,5.787
65.8,40.400000000000006,0.278
26.6,10.8,6.117
46.2,26.0,8.353
65.8,41.2,0.161
65.8,41.8,0.143
26.6,11.6,6.61
46.2,26.8,8.513
26.6,12.2,7.003
46.2,27.4,8.389
65.8,42.6,0.214
26.6,13.0,7.413
46.2,28.200000000000003,8.525
65.8,43.400000000000006,0.128
46.2,28.8,8.372
26.6,13.8,7.933
65.8,44.0,0.152
71.60000000000001,32.4,1.078
26.6,14.4,8.171
46.2,29.6,7.832
65.8,44.8,0.129
65.8,45.400000000000006,0.112
7.0,0.0,0.0
26.6,15.2,8.623
46.2,30.4,7.464
26.6,15.8,8.98
7.0,0.8,0.092
46.2,31.0,6.952
65.8,46.2,0.145
7.0,1.4,0.247
26.6,16.6,9.496
46.2,31.8,6.289
46.2,32.4,5.749
7.0,2.2,0.429
26.6,17.400000000000002,9.536
65.8,47.0,0.132
7.0,2.8000000000000003,0.613
26.6,18.0,9.669
46.2,33.2,5.249
65.8,47.6,0.1
7.0,3.6,0.692
26.6,18.8,9.6
46.2,34.0,4.453
26.6,19.4,9.292
7.0,4.4,0.767
46.2,34.6,3.932
65.8,49.0,0.0
7.0,5.0,0.835
26.6,20.200000000000003,9.264
46.2,35.4,3.403
46.2,36.0,3.086
7.0,5.800000000000001,0.907
26.6,21.0,9.374
7.0,6.4,1.007
26.6,21.6,9.122
46.2,36.8,2.481
7.0,7.2,0.987
26.6,22.4,9.065
46.2,37.6,1.929
26.6,23.0,8.978
7.0,8.0,1.151
46.2,38.2,1.535
7.0,8.6,1.12
26.6,23.8,9.007
46.2,39.0,0.839
46.2,39.6,0.376
7.0,9.4,1.117
26.6,24.6,8.861
26.6,25.200000000000003,8.616
7.0,10.2,1.03
46.2,40.400000000000006,0.136
71.60000000000001,34.6,1.584
7.0,10.8,0.935
26.6,26.0,8.613
46.2,41.2,0.08
46.2,41.8,0.099
7.0,11.6,0.738
26.6,26.8,8.687
7.0,12.2,0.614
26.6,27.4,8.661
46.2,42.6,0.117
7.0,13.0,0.561
26.6,28.200000000000003,8.852
46.2,43.400000000000006,0.0
26.6,28.8,8.678
7.0,13.8,0.547
46.2,44.0,0.071
7.0,14.4,0.417
26.6,29.6,8.182
46.2,44.8,0.0
46.2,45.400000000000006,0.0
7.0,15.2,0.504
26.6,30.4,7.682
7.0,15.8,0.377
26.6,31.0,7.298
46.2,46.2,0.08
72.60000000000001,0.0,0.0
7.0,16.6,0.304
26.6,31.8,6.79
46.2,47.0,0.0
26.6,32.4,6.262
7.0,17.400000000000002,0.299
46.2,47.6,0.0
71.60000000000001,36.0,1.391
7.0,18.0,0.359
26.6,33.2,5.627
46.2,48.400000000000006,0.0
46.2,49.0,0.0
7.0,18.8,0.04
26.6,34.0,5.036
72.60000000000001,1.4,0.742
7.0,19.4,0.317
26.6,34.6,4.547
46.2,49.8,0.0
72.60000000000001,2.2,1.345
7.0,20.200000000000003,0.267
26.6,35.4,4.065
72.60000000000001,2.8000000000000003,1.698
26.6,36.0,3.603
7.0,21.0,0.115
72.60000000000001,3.6,2.232
72.60000000000001,4.4,2.74
7.0,21.6,0.117
26.6,36.8,2.929
72.60000000000001,5.0,2.845
72.60000000000001,5.800000000000001,2.283
7.0,22.4,0.152
26.6,37.6,2.33
72.60000000000001,6.4,2.331
7.0,23.0,0.171
26.6,38.2,1.921
72.60000000000001,7.2,2.642
7.0,23.8,0.087
26.6,39.0,1.141
72.60000000000001,8.0,2.877
26.6,39.6,0.762
7.0,24.6,0.074
72.60000000000001,8.6,2.595
7.0,25.200000000000003,0.0
26.6,40.400000000000006,0.148
72.60000000000001,9.4,2.74
7.0,26.0,0.0
26.6,41.2,0.185
72.60000000000001,10.2,2.565
26.6,41.8,0.134
7.0,26.8,0.0
72.60000000000001,10.8,2.194
7.0,27.4,0.0
26.6,42.6,0.092
72.60000000000001,11.6,2.016
71.60000000000001,38.2,0.203
7.0,28.200000000000003,0.0
26.6,43.400000000000006,0.0
72.60000000000001,12.2,2.163
